,Year,Team,Week,,Sacked,Yards
0,1968,crd,11,/boxscores/196811240crd.htm,1,9
0,1968,crd,12,/boxscores/196812010pit.htm,2,18
0,1968,crd,13,/boxscores/196812080nyg.htm,0,0
0,1968,crd,14,/boxscores/196812140crd.htm,0,0
0,1967,crd,1,/boxscores/196709170crd.htm,1,13
0,1967,crd,2,/boxscores/196709240pit.htm,0,0
0,1967,crd,3,/boxscores/196710010crd.htm,0,0
0,1967,crd,4,/boxscores/196710080min.htm,0,0
0,1967,crd,5,/boxscores/196710150cle.htm,1,11
0,1967,crd,6,/boxscores/196710220crd.htm,0,0
0,1967,crd,7,/boxscores/196710300crd.htm,3,28
0,1967,crd,8,/boxscores/196711050was.htm,2,16
0,1967,crd,9,/boxscores/196711120crd.htm,5,48
0,1967,crd,10,/boxscores/196711190chi.htm,1,10
0,1967,crd,11,/boxscores/196711230dal.htm,5,50
0,1967,crd,12,/boxscores/196712030crd.htm,1,13
0,1967,crd,13,/boxscores/196712100crd.htm,1,8
0,1967,crd,14,/boxscores/196712170nyg.htm,4,32
0,1966,crd,1,/boxscores/196609110crd.htm,4,33
0,1966,crd,2,/boxscores/196609180crd.htm,3,21
0,1966,crd,3,/boxscores/196609250cle.htm,1,12
0,1966,crd,4,/boxscores/196610020phi.htm,4,32
0,1966,crd,5,/boxscores/196610090crd.htm,1,2
0,1966,crd,6,/boxscores/196610160crd.htm,2,28
0,1966,crd,7,/boxscores/196610230was.htm,2,31
0,1966,crd,8,/boxscores/196610310crd.htm,0,0
0,1966,crd,9,/boxscores/196611060nyg.htm,1,11
0,1966,crd,10,/boxscores/196611130pit.htm,3,37
0,1966,crd,12,/boxscores/196611270crd.htm,4,34
0,1966,crd,13,/boxscores/196612040dal.htm,5,39
0,1966,crd,14,/boxscores/196612110atl.htm,2,16
0,1966,crd,15,/boxscores/196612170crd.htm,6,56
0,1965,crd,1,/boxscores/196509190phi.htm,6,58
0,1965,crd,2,/boxscores/196509260cle.htm,1,9
0,1965,crd,3,/boxscores/196510040crd.htm,0,0
0,1965,crd,4,/boxscores/196510100was.htm,1,8
0,1965,crd,5,/boxscores/196510170pit.htm,2,19
0,1965,crd,6,/boxscores/196510240crd.htm,2,27
0,1965,crd,7,/boxscores/196510310nyg.htm,0,0
0,1965,crd,8,/boxscores/196511070crd.htm,3,32
0,1965,crd,9,/boxscores/196511140chi.htm,4,32
0,1965,crd,10,/boxscores/196511210crd.htm,5,38
0,1965,crd,11,/boxscores/196511280crd.htm,0,0
0,1965,crd,12,/boxscores/196512050crd.htm,3,26
0,1965,crd,13,/boxscores/196512110dal.htm,1,7
0,1965,crd,14,/boxscores/196512190crd.htm,2,23
0,1964,crd,1,/boxscores/196409120dal.htm,2,21
0,1964,crd,2,/boxscores/196409200cle.htm,2,11
0,1964,crd,3,/boxscores/196409270sfo.htm,4,23
0,1964,crd,4,/boxscores/196410040was.htm,1,2
0,1964,crd,5,/boxscores/196410120crd.htm,2,15
0,1964,crd,6,/boxscores/196410180crd.htm,5,50
0,1964,crd,7,/boxscores/196410250crd.htm,2,21
0,1964,crd,8,/boxscores/196411010nyg.htm,11,96
0,1964,crd,9,/boxscores/196411080crd.htm,1,10
0,1964,crd,10,/boxscores/196411150crd.htm,1,6
0,1964,crd,11,/boxscores/196411220phi.htm,1,9
0,1964,crd,12,/boxscores/196411290pit.htm,1,15
0,1964,crd,13,/boxscores/196412060crd.htm,2,8
0,1964,crd,14,/boxscores/196412130crd.htm,2,11
0,1963,crd,1,/boxscores/196309140dal.htm,0,0
0,1963,crd,2,/boxscores/196309220phi.htm,1,10
0,1963,crd,3,/boxscores/196309290pit.htm,4,32
0,1963,crd,4,/boxscores/196310060min.htm,7,63
0,1963,crd,5,/boxscores/196310130crd.htm,3,30
0,1963,crd,6,/boxscores/196310200crd.htm,3,25
0,1963,crd,7,/boxscores/196310270was.htm,2,14
0,1963,crd,8,/boxscores/196311030crd.htm,6,52
0,1963,crd,9,/boxscores/196311100crd.htm,1,10
0,1963,crd,10,/boxscores/196311170cle.htm,1,7
